id,host_id,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,number_of_reviews_ltm,review_scores_rating,instant_bookable,reviews_per_month
53661776,62320777,95%,97%,t,7,Rancho Bernadino,33.09528,-117.10836,Private room,4,1 private bath,2,2,167,0,,f,
6.00E+17,414789390,100%,100%,f,1,Tijuana River Valley,32.53066158,-117.0831513,Entire home/apt,6,1.5 baths,2,3,96,1,5,t,0.64
52088878,100368579,100%,94%,f,0,San Carlos,32.789742,-117.034927,Private room,2,1 private bath,1,1,85,7,4.71,f,3.62
6.29E+17,95926933,100%,79%,f,2,Mission Bay,32.54520845,-116.9339141,Entire home/apt,4,1 bath,1,3,54,0,,t,
19621314,46170232,100%,98%,t,5,Mission Bay,33.08553,-117.02757,Private room,5,1 private bath,1,4,90,30,5,f,2.45
5.89E+17,113883981,99%,100%,f,51,Northwest,32.66696,-117.1013,Entire home/apt,6,1 bath,1,1,356,0,,t,
39755889,303518125,100%,91%,f,0,Bay Terrace,32.67727,-117.03607,Entire home/apt,8,3 baths,4,4,752,24,4.87,t,1.71
35203930,265085721,100%,100%,t,2,Bay Terrace,32.68282,-117.02559,Private room,1,1 shared bath,1,1,73,30,4.92,t,1.65
29489747,174649308,100%,97%,t,1,Mission Bay,32.53125,-116.97315,Entire home/apt,3,1 bath,1,1,31,160,4.86,f,11.9
29185190,25047669,100%,100%,t,0,Northwest,32.65319,-117.10861,Entire home/apt,6,2 baths,3,4,343,16,4.93,t,2.27
1240503,6761999,100%,97%,t,2,Bonita Long Canyon,32.64779,-116.99218,Private room,2,1 shared bath,1,1,40,34,4.9,f,1.54
45812616,1451704,100%,90%,t,2,Tierrasanta,32.83214,-117.02254,Private room,2,1 shared bath,1,2,83,15,4.89,f,1.5
34229310,221210514,100%,99%,t,1,Tijuana River Valley,32.53349,-117.0498,Entire home/apt,2,1 bath,,1,32,56,4.83,f,4.24
48352938,162125688,100%,100%,t,13,Northwest,32.66614,-117.10657,Entire home/apt,6,1 bath,2,3,190,48,4.93,f,4.77
37637253,252208105,43%,100%,f,0,Mission Bay,32.54489,-116.92548,Entire home/apt,2,1 bath,1,1,39,0,4,t,0.03
25461248,503698,100%,100%,f,3,Mission Bay,33.08365,-117.03843,Entire home/apt,3,1 bath,,2,69,12,4.86,t,1.19
19641722,135578419,N/A,N/A,f,1,Encanto,32.73354,-117.05403,Private room,2,1 shared bath,1,1,80,0,4.82,t,0.18
43010270,342381035,N/A,N/A,f,0,Rancho Bernadino,33.09275,-117.11278,Private room,2,1.5 shared baths,1,1,75,0,,t,
5.89E+17,51245174,100%,98%,t,2,Scripps Ranch,32.93501,-117.06186,Entire home/apt,11,2 baths,4,5,487,1,5,f,1
29967,129123,100%,63%,f,5,Pacific Beach,32.80751,-117.2576,Entire home/apt,8,2 baths,2,3,265,14,4.79,f,0.54
45310768,204271448,100%,99%,t,1,Tijuana River Valley,32.53057,-117.08402,Entire home/apt,7,1.5 baths,2,5,59,36,4.94,f,2.48
38245,164137,100%,69%,f,3,Roseville,32.74217,-117.21931,Private room,1,1 shared bath,1,1,86,4,4.32,f,1.03
32963195,128467101,100%,95%,t,2,Encanto,32.73191,-117.04142,Private room,2,1 shared bath,1,1,90,28,4.94,f,1.56
6361160,8499599,N/A,100%,t,2,Mission Bay,33.11247,-117.02373,Private room,2,1 private bath,1,1,170,25,5,f,1.05
24232795,138063643,90%,90%,f,3,Mission Bay,32.53658,-116.94116,Entire home/apt,8,2.5 baths,3,4,160,8,4.58,t,0.61
51028272,281161184,100%,100%,t,5,Mission Bay,32.53727,-116.97139,Entire home/apt,4,1 bath,2,2,61,38,4.74,t,3.49
5.68E+17,10824022,100%,100%,f,5,Tierrasanta,32.84266,-117.01692,Private room,1,1 shared bath,1,1,47,0,,f,
44418097,358702316,100%,99%,f,0,Mission Bay,32.53161,-116.95079,Entire home/apt,6,2 baths,2,3,108,47,4.96,t,3.61
54001,252692,100%,86%,t,5,La Jolla,32.81301,-117.26856,Entire home/apt,3,1 bath,2,3,262,30,4.94,f,2.07
62274,302986,100%,93%,f,2,Pacific Beach,32.80583,-117.24244,Entire home/apt,2,1 bath,1,1,89,78,4.77,f,5.21
28386795,6927334,100%,72%,f,1,Encanto,32.73397,-117.04629,Entire home/apt,12,2 baths,4,6,821,22,4.58,f,0.88
6.39E+17,95926933,100%,79%,f,2,Mission Bay,32.54525819,-116.9333629,Entire home/apt,6,1 bath,1,3,57,0,,t,
33202028,194635599,N/A,0%,f,2,Mission Bay,32.545,-116.92656,Entire home/apt,5,1.5 baths,2,6,73,0,4.56,t,0.46
40030896,28893008,100%,61%,t,5,Northwest,32.65145,-117.10881,Entire home/apt,2,Half-bath,1,3,190,7,4.63,f,0.87
50776070,11983976,100%,100%,t,0,Tijuana River Valley,32.53521,-117.05287,Entire home/apt,2,1 bath,1,2,46,15,4.73,t,1.33
33722616,110023604,100%,99%,f,6,Mission Bay,32.54062,-116.93106,Entire home/apt,2,1 bath,1,2,27,12,4.7,t,0.97
51567627,392954360,100%,97%,f,2,Jomacha-Lomita,32.73409,-117.02133,Private room,2,1 shared bath,1,1,70,8,5,t,0.92
62949,21532,100%,97%,t,2,Pacific Beach,32.80885,-117.23043,Entire home/apt,2,1 bath,,,110,88,4.86,f,7.22
67441,332552,100%,70%,f,5,College Area,32.76347,-117.07753,Entire home/apt,2,1 bath,1,1,77,1,5,f,0.07
4069792,21065491,100%,71%,f,5,Mission Bay,32.54591,-116.93318,Entire home/apt,2,1 bath,,1,49,0,4.69,f,0.32
75668,401936,60%,16%,f,2,North Hills,32.74699,-117.14243,Private room,2,1 private bath,1,1,45,0,4.83,f,1.47
19316854,135298645,90%,100%,t,1,Del Mar Heights,32.95723,-117.26145,Private room,2,1 private bath,1,1,90,60,4.87,t,4.97
77785,417659,100%,100%,f,1,Old Town,32.749096,-117.191025,Private room,1,1 private bath,1,1,85,2,4.84,f,0.36
79300,401936,60%,16%,f,2,North Hills,32.74715,-117.1428,Private room,2,1 private bath,1,1,50,3,4.81,f,1.17
53604612,434098530,100%,100%,t,0,Bonita Long Canyon,32.67942,-116.99356,Private room,2,1 private bath,1,1,90,35,4.91,f,5.83
49885561,276140728,100%,96%,t,2,Rancho Bernadino,33.08282,-117.08318,Entire home/apt,4,1 bath,1,2,89,12,4.92,f,1.01
46628090,104573592,100%,98%,t,2,Mission Bay,33.12553,-117.02891,Entire home/apt,2,1 bath,1,1,159,69,4.96,f,6.15
6.38E+17,391443012,100%,98%,t,0,Lincoln Park,32.68874,-117.09189,Private room,2,1 shared bath,1,1,58,0,,t,
51470168,413513993,100%,86%,f,0,Sunbow,32.60348,-117.02547,Private room,2,1 shared bath,1,2,47,17,4.65,t,1.92
53466698,62320777,95%,97%,t,7,Rancho Bernadino,33.09438,-117.10834,Private room,2,1 shared bath,1,1,87,14,5,f,2.07
54343712,162283241,94%,97%,t,40,Del Mar Heights,32.97055,-117.26633,Entire home/apt,4,2 baths,2,2,539,9,5,t,4.03
103417,252692,100%,86%,t,5,La Jolla,32.81321,-117.26853,Private room,1,1 shared bath,1,1,143,8,4.93,f,1.75
5.87E+17,113883981,99%,100%,f,51,Northwest,32.66827,-117.10271,Entire home/apt,8,1 bath,2,2,233,15,4.67,t,5.56
103720,507423,91%,100%,t,9,Midtown,32.74779,-117.1648,Entire home/apt,2,1 bath,1,1,153,11,4.96,t,0.62
5.10E+17,356972601,100%,100%,t,0,Mission Bay,32.53598,-116.93715,Entire home/apt,8,2.5 baths,3,5,144,16,5,f,2.81
103841,541128,100%,91%,f,1,North City,32.95948,-117.23468,Private room,3,1.5 shared baths,1,1,82,3,4.97,f,0.88
49860499,60908702,100%,98%,t,2,Mission Bay,32.5456,-116.93181,Entire home/apt,5,1 bath,2,4,78,12,4.86,f,1.1
5.84E+17,449874393,100%,100%,f,0,Mission Bay,32.537052,-116.941582,Entire home/apt,8,2.5 baths,3,4,170,1,5,t,1
37213629,173890621,100%,100%,f,2,Mission Bay,32.55056,-116.91952,Private room,3,1 shared bath,1,4,24,0,3,t,0.04
38821650,73634115,100%,98%,t,0,Bonita Long Canyon,32.67859,-117.0041,Entire home/apt,2,1 bath,1,1,79,40,4.95,f,3.26
23684438,80786984,100%,87%,f,5,Jomacha-Lomita,32.719,-117.01437,Private room,2,1 shared bath,1,2,55,0,5,f,0.1
45656586,42475752,100%,99%,t,0,Lake Murray,32.79269,-117.00105,Entire home/apt,2,1 bath,1,1,91,52,4.91,f,3.7
108349,546519,100%,100%,f,2,Pacific Beach,32.79783,-117.25416,Entire home/apt,7,2.5 baths,3,5,384,10,4.75,t,1.22
126344,546519,100%,100%,f,2,Pacific Beach,32.80751,-117.25728,Entire home/apt,8,2 baths,3,6,458,16,4.72,t,1.39
6.47E+17,154680709,100%,100%,f,1,Southcrest,32.671426,-117.0981513,Entire home/apt,6,1 bath,3,4,243,0,,t,
132966,555739,100%,100%,f,4,La Jolla,32.80934,-117.25913,Entire home/apt,2,1 bath,,1,86,5,4.84,f,0.27
149548,721326,100%,98%,t,4,Bay Park,32.79993,-117.20067,Private room,1,1 shared bath,1,1,75,10,4.93,f,1.63
5.47E+17,441859079,90%,97%,f,3,Sabre Springs,32.94725,-117.06489,Private room,2,1 shared bath,1,1,59,12,4.92,t,2.93
52382525,110023604,100%,99%,f,6,Mission Bay,32.54558,-116.92222,Entire home/apt,2,1 bath,1,1,30,4,3.75,t,0.56
35460480,23550116,100%,99%,t,1,Bonita Long Canyon,32.67467,-116.99034,Private room,2,1 private bath,1,1,86,104,4.89,f,5.85
21241308,126644161,100%,99%,f,527,Mission Bay,33.07034,-117.00552,Entire home/apt,4,2 baths,2,2,179,20,4.93,t,1
24042772,80786984,100%,87%,f,5,Jomacha-Lomita,32.71712,-117.01477,Private room,2,1 shared bath,1,1,50,2,4.69,f,0.26
165967,790976,100%,100%,t,2,West University Heights,32.75314,-117.15142,Entire home/apt,2,1 bath,,1,125,46,4.98,t,4.83
6.17E+17,87117943,100%,100%,f,0,Mission Bay,33.06727945,-117.0426251,Entire home/apt,2,1 bath,1,1,370,8,5,f,5.45
167022,795905,100%,100%,t,4,Pacific Beach,32.79644,-117.23409,Private room,2,1 shared bath,1,1,100,23,4.71,f,1.75
53076673,110023604,100%,99%,f,6,Mission Bay,32.54499,-116.92265,Entire home/apt,3,1 bath,1,2,36,7,5,t,0.95
49671927,22217438,100%,96%,t,2,Del Mar Heights,32.94846,-117.2638,Private room,1,1 shared bath,1,1,119,23,5,f,2.11
167760,799669,88%,100%,t,2,Mira Mesa,32.91216,-117.12881,Private room,1,1 shared bath,1,1,48,9,4.88,f,0.61
167804,721326,100%,98%,t,4,Bay Park,32.80135,-117.20282,Private room,1,1 shared bath,1,1,76,27,4.89,f,0.87
6.14E+17,104071067,100%,100%,f,0,Mission Bay,33.07618112,-117.053038,Entire home/apt,4,1 bath,1,3,134,7,5,t,5.53
5.88E+17,38470999,100%,87%,f,0,Darnall,32.75145,-117.04531,Entire home/apt,4,1 bath,,2,149,13,5,f,6.29
51937711,110023604,100%,99%,f,6,Mission Bay,32.5453,-116.92181,Entire home/apt,2,1 bath,1,1,30,4,5,t,0.47
34758222,110023604,100%,99%,f,6,Mission Bay,32.54098,-116.93216,Entire home/apt,2,1 bath,1,1,28,15,4.72,t,2.01
38556381,101770066,100%,99%,f,0,Mission Bay,33.09087,-117.03942,Entire home/apt,2,1 bath,1,1,109,47,4.96,t,5.05
26694394,105578006,100%,100%,t,1,Otay Ranch,32.64522,-116.98397,Entire home/apt,2,1 bath,,1,116,23,4.98,t,2.02
19521443,46170232,100%,98%,t,5,Mission Bay,33.08773,-117.0294,Private room,5,1 private bath,1,4,75,29,5,f,1.91
168415,766039,100%,100%,f,8,Bird Land,32.78175,-117.16045,Private room,2,1 shared bath,1,2,91,4,4.85,t,0.54
170421,799669,88%,100%,t,2,Mira Mesa,32.91068,-117.13051,Private room,1,1 shared bath,1,1,55,0,4.9,f,0.4
44969095,57827418,100%,99%,t,2,Jomacha-Lomita,32.72273,-117.00821,Entire home/apt,8,1 bath,2,5,125,40,4.92,t,2.87
49026609,162125688,100%,100%,t,13,Northwest,32.66351,-117.1057,Entire home/apt,8,2 baths,3,5,331,20,4.85,f,1.73
5.62E+17,210817218,100%,100%,f,0,Mission Bay,32.53923,-116.93763,Entire home/apt,2,1 bath,1,1,34,8,4.88,f,4
5.31E+17,153055712,100%,100%,f,0,Jomacha-Lomita,32.73038,-117.02854,Entire home/apt,6,1 bath,2,2,177,21,4.67,t,4.38
171212,816767,100%,100%,f,1,Carmel Valley,32.94568,-117.23229,Entire home/apt,6,2 baths,3,3,189,4,4.47,t,0.48
172519,164137,100%,69%,f,3,Roseville,32.73936,-117.21747,Private room,1,3 baths,1,1,85,0,4.4,f,0.4
174041,799669,88%,100%,t,2,Mira Mesa,32.91086,-117.13066,Entire home/apt,5,1 bath,2,2,125,0,4.5,f,0.05
51430216,7485479,100%,92%,t,2,Darnall,32.73827,-117.03545,Entire home/apt,2,1 bath,1,1,139,3,5,f,0.29
175119,836963,100%,91%,f,1,Talmadge,32.76687,-117.09017,Private room,2,1 private bath,1,1,99,4,4.9,f,0.77
49673133,248831727,100%,85%,t,1,Mission Bay,32.53196,-116.94284,Entire home/apt,5,2 baths,3,3,43,13,5,t,1.16
47781214,339041358,100%,100%,t,0,Lake Murray,32.78927,-116.99038,Entire home/apt,10,3 baths,4,6,435,44,4.73,t,3.7
52457608,121916709,100%,99%,t,2,Mission Bay,33.09848,-117.03083,Entire home/apt,16,4 baths,5,11,1114,37,4.95,f,4.51
53434938,156336218,100%,95%,f,2,Mission Bay,32.53935,-116.9348,Entire home/apt,2,1 bath,1,1,32,9,4.78,f,1.36
45900423,112271037,N/A,N/A,f,2,Lake Murray,32.77629,-116.99361,Entire home/apt,9,3.5 baths,4,5,820,35,5,f,3.47
176588,2139569,100%,97%,f,1,Moreno Mission,32.77361,-117.2004,Entire home/apt,4,1 bath,,2,111,35,4.82,f,1.78
52856617,255579234,100%,100%,t,0,Tijuana River Valley,32.534561,-117.080566,Entire home/apt,4,1 bath,2,2,58,28,4.68,t,3.57
182428,874515,97%,86%,f,32,Mission Bay,32.76411,-117.25139,Entire home/apt,4,1 bath,,2,252,4,4.3,f,0.1
5.63E+17,222927024,100%,100%,f,1,Jomacha-Lomita,32.71907,-117.00273,Private room,1,1.5 shared baths,1,1,49,2,5,f,0.91
6.22E+17,458083828,90%,100%,f,0,Mission Bay,32.53624,-116.971558,Entire home/apt,8,2.5 baths,3,4,82,6,5,t,5.62
36358970,273384787,100%,98%,t,1,Mission Bay,32.5388,-116.9294,Entire home/apt,4,1 bath,2,3,42,26,4.75,f,2.33
15723511,56291801,100%,88%,f,1,Rancho Bernadino,33.09976,-117.11419,Private room,2,1 private bath,1,1,60,13,4.92,f,1.38
184238,883704,100%,100%,t,2,Loma Portal,32.74109,-117.24503,Entire home/apt,4,1.5 baths,1,1,224,65,4.92,f,3.64
46873863,173890621,100%,100%,f,2,Mission Bay,32.55039,-116.91757,Entire home/apt,4,1 bath,2,3,59,13,4.81,t,0.89
189785,915738,100%,100%,t,1,La Jolla,32.81041,-117.26637,Private room,2,1 private bath,1,1,130,6,5,f,0.38
6.43E+17,302903827,53%,67%,f,1,Mission Bay,32.5338939,-116.9699804,Entire home/apt,7,3.5 baths,5,3,113,0,,f,
52925712,156336218,100%,95%,f,2,Mission Bay,32.53875,-116.9339,Entire home/apt,2,1 bath,1,1,25,2,3,f,0.34
21963907,158748997,100%,100%,t,3,Mission Bay,32.53178,-116.97904,Entire home/apt,10,4.5 baths,4,6,201,15,4.88,f,2.31
28845169,110023604,100%,99%,f,6,Mission Bay,32.54048,-116.93112,Entire home/apt,2,1 bath,1,1,27,5,4.69,t,1.48
41937913,331266615,100%,93%,t,0,Mission Bay,32.53908,-116.92902,Entire home/apt,2,1 bath,1,1,37,9,4.79,f,1.18
51623270,102862659,100%,99%,f,9,Mission Bay,32.54576,-116.92185,Private room,1,2 shared baths,1,1,23,3,4,f,0.35
190225,918513,100%,99%,t,1,La Jolla,32.84006,-117.26922,Entire home/apt,14,4 baths,5,9,725,45,4.89,f,1.75
32267288,240933227,100%,99%,t,6,East Lake,32.66591,-116.97696,Private room,2,1 private bath,1,1,62,37,5,f,1.59
203528,975389,100%,80%,t,9,Old Town,32.75033,-117.19283,Private room,2,1 bath,1,1,132,0,4,f,0.02
6.11E+17,455395894,100%,100%,f,0,Mission Bay,32.55127,-116.92014,Entire home/apt,4,1 bath,2,2,46,1,5,t,1
17511196,7627259,100%,97%,t,5,La Jolla,32.84453,-117.28008,Entire home/apt,4,1 bath,1,2,100,65,4.79,f,4.16
31340827,234645602,100%,99%,t,1,Mission Bay,32.53322,-116.94021,Entire home/apt,4,1 bath,1,2,79,35,4.89,t,2.93
3116531,15836518,100%,93%,t,4,Darnall,32.74499,-117.04094,Entire home/apt,4,1 bath,1,2,139,4,4.81,f,0.37
294616,1451704,100%,90%,t,2,Tierrasanta,32.83365,-117.0223,Private room,2,1 shared bath,1,1,80,28,4.76,f,0.57
6.29E+17,110023604,100%,99%,f,6,Mission Bay,32.54516674,-116.9222694,Entire home/apt,2,1 bath,1,1,25,1,5,t,1
211583,1090651,100%,100%,t,1,Mission Bay,32.76757,-117.25103,Entire home/apt,4,1 bath,2,3,260,33,4.88,t,1.81
35451291,111305639,100%,85%,t,4,Sabre Springs,32.96686,-117.05779,Entire home/apt,6,2 baths,2,3,155,19,4.67,f,1.26
213653,660996,90%,71%,t,2,Torrey Pines,32.92565,-117.24847,Entire home/apt,12,3.5 baths,4,5,1150,8,4.93,f,0.39
33254970,228145512,100%,92%,t,1,Mission Bay,33.07082,-117.05015,Private room,1,1 private bath,1,1,65,6,5,t,0.53
45484848,130966877,92%,99%,f,18,Tijuana River Valley,32.53937,-117.05327,Entire home/apt,2,1 bath,1,1,26,19,4.76,t,1.42
54370176,256122633,100%,87%,f,0,Lake Murray,32.8245,-116.99477,Private room,1,1 private bath,1,1,69,11,5,f,2.52
34373361,151127694,100%,98%,f,1,Northwest,32.67353,-117.0921,Entire home/apt,4,1 bath,1,2,112,35,4.84,f,2.26
241210,1265742,100%,100%,t,2,North Hills,32.75819,-117.13749,Private room,1,1 shared bath,1,1,80,4,4.86,f,0.69
6.38E+17,21750458,100%,100%,f,0,Mission Bay,33.07463393,-117.071858,Entire home/apt,4,1 bath,1,2,147,0,,f,
39559460,272376573,100%,100%,t,4,North City,32.98288,-117.19116,Private room,2,1 private bath,1,1,108,0,4.75,t,0.13
6.05E+17,25320944,100%,100%,t,10,Bario Logan,32.67104,-117.10834,Entire home/apt,6,1 bath,3,3,221,7,4.86,t,3.96
49010438,378041710,94%,99%,t,4,Sabre Springs,32.94805,-117.0686,Entire home/apt,3,1 bath,1,1,109,94,4.88,t,7.8
50554146,408469044,N/A,96%,f,1,Mountain View,32.67682,-117.08914,Entire home/apt,4,1 bath,1,1,125,14,4.86,t,1.26
27440130,170288146,N/A,100%,f,1,Jomacha-Lomita,32.73658,-117.02566,Private room,2,1 shared bath,1,1,150,1,4.77,f,0.68
246264,1291828,100%,60%,t,5,Linda Vista,32.79579,-117.17383,Entire home/apt,2,1 bath,1,1,91,0,4.81,f,0.54
252289,861840,100%,82%,t,1,Old Town,32.75259,-117.17599,Entire home/apt,2,1 bath,1,2,171,59,4.87,f,3.2
269843,766039,100%,100%,f,8,Bird Land,32.78175,-117.16045,Private room,2,1 shared bath,1,2,83,0,4.75,t,0.63
273134,766039,100%,100%,f,8,Bird Land,32.78175,-117.16045,Private room,2,1 private bath,1,1,116,10,4.85,t,0.53
6.21E+17,125386330,100%,100%,f,1,Jomacha-Lomita,32.72391025,-117.0317397,Entire home/apt,8,2 baths,3,5,120,0,,f,
278138,1451910,89%,83%,t,3,Scripps Ranch,32.90738,-117.08818,Private room,2,1 shared bath,1,1,68,15,4.64,f,0.8
278158,1451910,89%,83%,t,3,Scripps Ranch,32.90847,-117.08776,Private room,2,1.5 shared baths,1,1,68,38,4.93,f,0.63
50373750,345896475,100%,100%,t,0,Scripps Ranch,32.96214,-117.01273,Entire home/apt,3,1 bath,1,1,97,37,4.89,t,3.08
11544081,13619079,100%,100%,t,1,Sabre Springs,32.95877,-117.05256,Entire home/apt,2,1 bath,1,1,103,72,4.93,t,5.22
39058126,72419946,100%,100%,f,4,Jomacha-Lomita,32.73373,-117.01401,Entire home/apt,4,1 bath,,1,99,6,5,t,0.59
53466335,62320777,95%,97%,t,7,Rancho Bernadino,33.09447,-117.10872,Private room,2,1 shared bath,1,1,81,9,5,f,1.36
46983995,378041710,94%,99%,t,4,Sabre Springs,32.94678,-117.06792,Entire home/apt,3,1 bath,,1,86,107,4.91,t,7.8
31359129,80786984,100%,87%,f,5,Jomacha-Lomita,32.71904,-117.01577,Private room,2,1 shared bath,1,1,60,0,5,f,0.1
17667803,60190249,100%,100%,f,1,Bay Terrace,32.67929,-117.02899,Entire home/apt,6,2.5 baths,2,5,150,2,4.78,f,0.39
6.03E+17,56405140,100%,98%,f,0,East Lake,32.6665,-116.97591,Entire home/apt,6,2.5 baths,3,3,220,1,5,t,0.79
279012,1451027,N/A,N/A,f,2,Loma Portal,32.73183,-117.2427,Entire home/apt,6,2 baths,3,4,235,0,4.87,f,0.19
289088,1501859,100%,99%,f,3,Midtown,32.74277,-117.17735,Entire home/apt,1,1 bath,1,1,97,56,4.79,f,2.65
26499462,29450664,N/A,0%,f,1,East Lake,32.64635,-116.97848,Entire home/apt,4,1 bath,1,2,144,0,4.98,f,1.1
292285,466847,100%,82%,f,6,Loma Portal,32.75031,-117.23056,Entire home/apt,4,2 baths,2,2,120,3,4.56,f,0.48
5.59E+17,410172406,100%,96%,t,5,Mission Bay,33.07428,-116.93412,Entire home/apt,4,1 bath,1,4,225,4,5,f,0.98
51027685,281161184,100%,100%,t,5,Mission Bay,32.53611,-116.97101,Private room,2,1 shared bath,1,1,24,62,4.82,t,5.85
39732618,272376573,100%,100%,t,4,North City,32.98231,-117.19043,Private room,2,1 shared bath,1,1,162,13,4.88,t,0.76
49907974,213452117,100%,99%,t,3,Jomacha-Lomita,32.72973,-117.01926,Entire home/apt,10,2.5 baths,4,4,396,41,4.95,f,3.41
24393256,184013403,100%,33%,f,2,Sky Line,32.70036,-117.01222,Private room,1,2.5 shared baths,1,2,103,0,4.33,f,0.06
293609,1502676,100%,99%,t,4,West University Heights,32.75906,-117.14445,Entire home/apt,5,1 bath,2,2,253,38,4.89,f,2.58
53951222,410172406,100%,96%,t,5,Mission Bay,33.07448,-116.93262,Entire home/apt,16,6.5 baths,7,12,2013,6,5,f,1.06
299720,384706,100%,100%,t,1,Midtown,32.73464,-117.16452,Entire home/apt,4,1 bath,1,1,121,8,4.72,f,0.42
48828773,147276739,100%,100%,f,85,North City,32.98626,-117.23938,Entire home/apt,12,5.5 baths,5,7,948,24,4.93,t,2.09
49164317,388356587,100%,100%,t,1,Jomacha-Lomita,32.710724,-117.016396,Entire home/apt,2,1 bath,1,1,85,35,4.82,t,2.92
16438899,107794424,N/A,N/A,f,1,Bay Terrace,32.67502,-117.0291,Private room,2,1 private bath,1,1,105,0,5,f,0.1
5.75E+17,32803428,100%,96%,f,0,Mission Bay,33.12344,-117.0321,Entire home/apt,11,3 baths,4,7,649,6,5,f,3.4
54281830,410172406,100%,96%,t,5,Mission Bay,33.07409,-116.9323,Entire home/apt,6,1.5 baths,2,3,475,6,5,f,1.25
48656007,192369667,100%,96%,t,3,Scripps Ranch,32.95359,-117.01866,Entire home/apt,3,1 bath,2,2,150,7,4.86,f,0.6
331892,1689428,100%,26%,f,1,Midtown,32.74957,-117.16708,Private room,2,2 baths,1,1,85,0,4.98,f,0.72
19346086,2702758,100%,100%,f,4,Carmel Mountain,32.98109,-117.04744,Entire home/apt,10,3.5 baths,5,6,564,3,4.92,f,0.4
34905408,258596628,100%,100%,t,5,Darnall,32.73893,-117.03776,Entire home/apt,4,1.5 baths,2,2,205,1,4.67,t,0.24
51514580,110023604,100%,99%,f,6,Mission Bay,32.54693,-116.92345,Entire home/apt,5,1 bath,2,5,49,2,5,t,0.2
591575,2919820,100%,100%,t,3,La Jolla,32.82898,-117.27846,Entire home/apt,4,2 baths,2,2,376,10,4.91,t,1.1
343495,1012168,100%,94%,t,1,Ocean Beach,32.75152,-117.24682,Entire home/apt,2,1 bath,1,1,138,19,4.91,f,3.23
6.08E+17,388436390,100%,100%,f,0,Lincoln Park,32.68894864,-117.0886814,Entire home/apt,10,2 baths,4,7,365,0,,f,
359971,1821106,100%,88%,t,1,West University Heights,32.75568,-117.14679,Entire home/apt,2,1 bath,1,1,115,2,4.83,f,0.68
597609,2919820,100%,100%,t,3,La Jolla,32.82901,-117.27849,Entire home/apt,4,2 baths,2,2,329,20,4.96,f,1.31
599607,2954330,50%,44%,f,2,Midtown,32.74259,-117.17566,Entire home/apt,1,Half-bath,1,1,132,8,5,f,0.56
7623836,39990786,100%,91%,t,0,Rancho Bernadino,32.98107,-117.04675,Entire home/apt,16,4 baths,7,7,699,8,4.96,f,0.36
602985,6627782,91%,95%,f,2,Ocean Beach,32.74566,-117.24986,Entire home/apt,6,1 bath,2,2,197,28,4.78,t,1.85
366811,1852011,100%,90%,f,1,Clairemont Mesa,32.81801,-117.16826,Entire home/apt,6,1 bath,1,3,120,32,4.89,f,2.49
6.34E+17,352582046,100%,100%,t,3,Paradise Hills,32.68299666,-117.0748728,Entire home/apt,10,3 baths,4,4,398,1,5,t,1
385760,1486293,100%,75%,t,1,Loma Portal,32.75711,-117.22541,Private room,2,1 private bath,1,1,50,3,4.95,f,0.74
606508,103427,73%,24%,f,135,Core,32.71816,-117.15442,Entire home/apt,4,1 bath,1,2,282,0,5,f,0.01
610920,3028993,50%,70%,f,1,La Jolla,32.81244,-117.26835,Entire home/apt,4,2 baths,3,3,600,5,4.9,f,0.1
393042,164137,100%,69%,f,3,Roseville,32.74036,-117.21963,Private room,2,2 shared baths,1,2,122,0,4.35,f,0.38
52933106,4870449,90%,100%,f,21,Northwest,32.66371,-117.09734,Entire home/apt,16,2 baths,3,8,272,1,1,t,0.16
611250,2315442,100%,100%,f,9,Park West,32.72784,-117.16398,Private room,3,Shared half-bath,1,1,82,39,4.62,t,4.48
616718,2315442,100%,100%,f,9,Park West,32.72636,-117.16461,Private room,2,1 private bath,1,,97,49,4.6,t,5.78
394524,1972369,100%,100%,f,1,Pacific Beach,32.802494,-117.25676,Entire home/apt,3,1 bath,1,1,166,28,4.74,t,1.16
6.29E+17,95926933,100%,79%,f,2,Mission Bay,32.54524166,-116.9341152,Entire home/apt,4,1 bath,,2,63,2,5,t,2
26136906,193965590,100%,100%,t,2,Lake Murray,32.7975,-117.0029,Private room,2,1 private bath,1,1,78,15,4.98,f,1.24
396390,1980775,100%,95%,f,1,Midtown,32.74359,-117.17584,Entire home/apt,1,1 bath,1,1,97,28,4.75,f,1.58
631271,1121416,100%,95%,f,2,East Village,32.71553,-117.15377,Entire home/apt,2,1 bath,1,2,123,3,4.74,t,0.91
6.22E+17,44533694,N/A,96%,t,2,Mission Bay,33.08609,-117.066032,Entire home/apt,2,1 bath,1,1,115,0,,f,
50270255,15154198,100%,96%,t,2,Encanto,32.73096,-117.03891,Entire home/apt,2,1 bath,1,1,71,18,4.78,f,1.53
637308,3178591,100%,80%,f,2,La Jolla,32.83984,-117.26885,Entire home/apt,16,5.5 baths,6,7,1352,4,5,f,0.05
401431,2003694,100%,76%,t,3,Ocean Beach,32.75103,-117.24745,Entire home/apt,2,1 bath,1,1,149,13,4.9,f,0.58
