id,host_id,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,number_of_reviews_ltm,review_scores_rating,instant_bookable,reviews_per_month
51569453,226804666,100%,39%,f,3404,College Area,32.77194,-117.07462,Private room,1,Private half-bath,1,1,53,0,,f,
51569466,226804666,100%,39%,f,3404,College Area,32.77058,-117.07484,Private room,1,Private half-bath,1,1,76,0,,f,
51569476,226804666,100%,39%,f,3404,College Area,32.77016,-117.07666,Private room,1,Private half-bath,1,1,63,0,,f,
51670806,61566684,100%,100%,t,0,Mountain View,32.69438,-117.09991,Entire home/apt,10,2.5 baths,4,6,275,42,4.69,t,4.7
51671058,390710729,100%,98%,f,11,Balboa Park,32.71351,-117.14436,Entire home/apt,6,1 bath,2,1,210,14,4.57,t,1.53
51527316,457044,N/A,0%,f,0,East Village,32.71066,-117.15103,Private room,2,1 shared bath,1,3,149,0,,f,
51536037,417495473,100%,100%,f,15,East Village,32.71118,-117.15652,Entire home/apt,8,2 baths,2,5,336,19,4.63,t,1.93
51538561,16130027,100%,98%,f,2,Memorial,32.7028,-117.1238,Entire home/apt,3,1 bath,,2,86,23,4.74,t,2.46
51540465,130954997,50%,32%,f,16,East Village,32.71181,-117.15829,Entire home/apt,4,2 baths,2,2,200,0,,f,
51671121,390710729,100%,98%,f,11,Balboa Park,32.71356,-117.14422,Entire home/apt,5,1 bath,2,3,181,16,4.63,t,1.73
51569482,226804666,100%,39%,f,3404,College Area,32.77017,-117.07609,Private room,1,Private half-bath,1,1,82,0,,f,
51671734,309379978,100%,100%,f,0,El Cerritos,32.7578,-117.06825,Private room,2,1.5 shared baths,1,1,105,6,5,f,0.79
51673681,82398513,100%,99%,f,2,Encanto,32.71997,-117.0639,Private room,2,1 shared bath,1,1,61,9,4.78,t,0.95
51673899,377013117,100%,91%,t,0,Midtown,32.74754,-117.156799,Private room,2,2 shared baths,1,1,94,9,4.89,f,0.9
51674042,82398513,100%,99%,f,2,Encanto,32.72088,-117.0639,Private room,1,1 shared bath,1,1,61,5,4.8,t,0.53
51544807,104771517,100%,100%,t,0,Mira Mesa,32.91389,-117.1377,Private room,2,1.5 shared baths,1,1,93,10,4.9,t,0.98
51549026,226804666,100%,39%,f,3404,College Area,32.77636,-117.07777,Private room,1,1.5 baths,1,1,82,0,,f,
51569493,226804666,100%,39%,f,3404,College Area,32.77174,-117.0762,Private room,1,Private half-bath,1,1,87,0,,f,
51549033,226804666,100%,39%,f,3404,College Area,32.77621,-117.07777,Private room,1,1.5 baths,1,1,92,0,,f,
51677166,37548147,100%,99%,t,1,Southcrest,32.68748,-117.10791,Entire home/apt,5,2 baths,2,3,224,69,4.96,f,7.29
51684506,304961375,100%,97%,t,0,Pacific Beach,32.80378,-117.22138,Entire home/apt,9,2 baths,3,12,454,33,4.94,f,3.5
51688880,75778456,100%,100%,t,2,University City,32.85842,-117.2194,Private room,1,1.5 shared baths,1,1,111,9,4.89,t,0.94
51689739,78151432,100%,100%,t,1,Grantville,32.79149363,-117.0942829,Entire home/apt,10,2 baths,3,6,479,16,4.81,t,1.78
51549036,226804666,100%,39%,f,3404,College Area,32.77629,-117.07924,Private room,1,1.5 baths,1,1,100,0,,f,
51550232,226804666,100%,39%,f,3404,College Area,32.77238,-117.06869,Private room,1,Private half-bath,1,1,87,0,,f,
51550248,226804666,100%,39%,f,3404,College Area,32.77197,-117.06866,Private room,1,Private half-bath,1,1,95,0,,f,
51550263,226804666,100%,39%,f,3404,College Area,32.77072,-117.06848,Private room,1,Private half-bath,1,1,82,0,,f,
51550278,226804666,100%,39%,f,3404,College Area,32.77053,-117.06885,Private room,1,Private half-bath,1,1,92,0,,f,
51550292,226804666,100%,39%,f,3404,College Area,32.77142,-117.06875,Private room,1,Private half-bath,1,1,100,0,,f,
51550307,226804666,100%,39%,f,3404,College Area,32.77283,-117.06914,Private room,1,Private half-bath,1,1,77,0,,f,
51550533,226804666,100%,39%,f,3404,College Area,32.7719,-117.06849,Private room,1,Private half-bath,1,1,87,0,,f,
51550547,226804666,100%,39%,f,3404,College Area,32.77165,-117.067,Private room,1,Private half-bath,1,1,95,0,,f,
51550552,226804666,100%,39%,f,3404,College Area,32.7712,-117.06674,Private room,1,Private half-bath,1,1,100,0,,f,
51550562,226804666,100%,39%,f,3404,College Area,32.7698,-117.06715,Private room,1,Private half-bath,1,1,82,0,,f,
51550572,226804666,100%,39%,f,3404,College Area,32.77112,-117.06868,Private room,1,Private half-bath,1,1,77,0,,f,
51550582,226804666,100%,39%,f,3404,College Area,32.77109,-117.06666,Private room,1,Private half-bath,1,1,92,0,,f,
51550767,226804666,100%,39%,f,3404,College Area,32.77174,-117.07573,Private room,1,Private half-bath,1,1,92,0,,f,
51550782,226804666,100%,39%,f,3404,College Area,32.76946,-117.07719,Private room,1,Private half-bath,1,1,87,0,,f,
